# SEED — Takshashila University org structure.
# University root: "Takshashila University" (code TU) — created by the seeder,
# not by this file; every row below hangs beneath it.
# Generated from Takshashila_University_Schools_and_Programmes_Updated.docx
# (July 2026). 6 Faculty Divisions, 13 Schools, 15 Departments, 113 Programmes.
#
# Load with:  make seed        (python -m unicore.seed)
# or upload on Org structure -> Bulk upload — same validation pipeline either way.
#
# Only SCOPE and SCORE have real Departments; the other Schools leave the
# department columns blank and get a default Department (flagged auto-created).
# duration_years = ACADEMIC years, internship counted separately in months.
# cadence is the School's curriculum rhythm (semester|yearly) and is
# MANDATORY: it sets every Programme's position ladder. All Takshashila
# Schools run semesters; a Programme that differs (PhD) is overridden
# individually after import, not here.
# The School of Medicine (external Takshashila Medical College) is omitted
# pending the scope decision recorded in
# docs/reviews/org-structure-vs-university-document.md §7.
faculty_division_code,faculty_division_name,school_code,school_name,cadence,department_code,department_name,programme_code,programme_name,level,duration_years,mode,category,industry_partner,internship_months,lateral_entry_semester
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,CSE,Computer Science & Engineering,BT-CSE,B.Tech - Computer Science & Engineering,Under Graduate,4,Full-Time,Standard,,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,CSE,Computer Science & Engineering,BT-IT,B.Tech - Information Technology,Under Graduate,4,Full-Time,Standard,,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,CSE,Computer Science & Engineering,BT-CSE-AAI,B.Tech - CSE (Applied AI),Under Graduate,4,Full-Time,Standard,,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,CSE,Computer Science & Engineering,MT-CSE,M.Tech - Computer Science & Engineering,Post Graduate,2,Full-Time,Standard,,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,CSE,Computer Science & Engineering,PHD-CSE,Ph.D - Computer Science & Engineering,PhD (Full-Time),5,Full-Time,Research,,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,CSE,Computer Science & Engineering,BT-CSE-CYBER,B.Tech CSE (Cyber Security),Under Graduate,4,Full-Time,Industry Collaborated,IBM,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,CSE,Computer Science & Engineering,BT-CSE-FSD,B.Tech CSE (Full Stack Development),Under Graduate,4,Full-Time,Industry Collaborated,HCL GUVI,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,CSE,Computer Science & Engineering,BT-CSE-ARVR,B.Tech CSE (Augmented / Virtual Reality),Under Graduate,4,Full-Time,Industry Collaborated,NOVAC Technologies,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,CSE,Computer Science & Engineering,BT-CSE-CLOUD,B.Tech CSE (Cloud Computing & DevOps),Under Graduate,4,Full-Time,Industry Collaborated,Amazon Web Services,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,AIDS,Artificial Intelligence & Data Science,BT-AIDS,B.Tech - Artificial Intelligence & Data Science,Under Graduate,4,Full-Time,Standard,,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,AIDS,Artificial Intelligence & Data Science,BT-AIDS-IBM,B.Tech AI & Data Science,Under Graduate,4,Full-Time,Industry Collaborated,IBM,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,AIDS,Artificial Intelligence & Data Science,BT-CSE-ADE,B.Tech CSE (AI & Data Engineering),Under Graduate,4,Full-Time,Industry Collaborated,TRANSORG,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,AIDS,Artificial Intelligence & Data Science,BT-CSE-CSBS,B.Tech CSE (Computer Science & Business Systems),Under Graduate,4,Full-Time,Industry Collaborated,NOVAC Technologies,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,AIDS,Artificial Intelligence & Data Science,BT-CSE-BCFT,B.Tech CSE (Blockchain & FinTech Applications),Under Graduate,4,Full-Time,Industry Collaborated,CHAINLEARN,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,AIDS,Artificial Intelligence & Data Science,MT-AIDS-IBM,M.Tech - AI & Data Science (5-Year Integrated),Post Graduate,5,Full-Time,Industry Collaborated,IBM,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,AIDS,Artificial Intelligence & Data Science,BT-CSE-DS,B.Tech CSE (Data Science),Under Graduate,4,Full-Time,Industry Integrated,NXTWAVE Disruptive Technologies,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,AIDS,Artificial Intelligence & Data Science,BT-CSE-IOS,B.Tech CSE (iOS Development),Under Graduate,4,Full-Time,Industry Integrated,APPLE,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,AIML,Artificial Intelligence & Machine Learning,BT-CSE-AIML,B.Tech CSE - Artificial Intelligence & Machine Learning,Under Graduate,4,Full-Time,Standard,,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,AIML,Artificial Intelligence & Machine Learning,BT-CSE-AIML-X,B.Tech CSE (AI & Machine Learning),Under Graduate,4,Full-Time,Industry Collaborated,XEBIA,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,AIML,Artificial Intelligence & Machine Learning,BT-CSE-GENAI,B.Tech CSE (Generative AI),Under Graduate,4,Full-Time,Industry Collaborated,XEBIA,,
FET,Faculty of Engineering & Technology,SCOPE,School of Computational Engineering,semester,AIML,Artificial Intelligence & Machine Learning,BT-CSE-AIET,B.Tech CSE (AI Engineering & Technology),Under Graduate,4,Full-Time,Industry Collaborated,NVIDIA,,
FET,Faculty of Engineering & Technology,SCORE,School of Core Engineering,semester,ECE,Electronics & Communication Engineering,BT-ECE,B.Tech - Electronics & Communication Engineering,Under Graduate,4,Full-Time,Standard,,,
FET,Faculty of Engineering & Technology,SCORE,School of Core Engineering,semester,ECE,Electronics & Communication Engineering,BT-ECE-IOT,B.Tech - ECE (IoT),Under Graduate,4,Full-Time,Industry Collaborated,IBM,,
FET,Faculty of Engineering & Technology,SCORE,School of Core Engineering,semester,ECE,Electronics & Communication Engineering,BT-ECE-SEMI,B.Tech - ECE (Semiconductor Technology),Under Graduate,4,Full-Time,Standard,,,
FET,Faculty of Engineering & Technology,SCORE,School of Core Engineering,semester,ECE,Electronics & Communication Engineering,BT-EE-ASR,B.Tech - Electronics Engineering (Autonomous Systems & Robotics),Under Graduate,4,Full-Time,Industry Collaborated,Schneider Electric,,
FET,Faculty of Engineering & Technology,SCORE,School of Core Engineering,semester,ECE,Electronics & Communication Engineering,MT-IOT,M.Tech - IoT & Sensor Systems,Post Graduate,2,Full-Time,Standard,,,
FET,Faculty of Engineering & Technology,SCORE,School of Core Engineering,semester,ECE,Electronics & Communication Engineering,PHD-ECE,Ph.D - Electronics & Communication Engineering,PhD (Full-Time),5,Full-Time,Research,,,
FMC,Faculty of Management & Commerce,SOMS,School of Management Studies,semester,,,BBA,BBA - Bachelor of Business Administration,Under Graduate,3,Full-Time,Standard,,,
FMC,Faculty of Management & Commerce,SOMS,School of Management Studies,semester,,,BBA-FT,BBA (FinTech),Under Graduate,3,Full-Time,Industry Integrated,IMARTICUS,,
FMC,Faculty of Management & Commerce,SOMS,School of Management Studies,semester,,,BBA-SM,BBA (Sports Management),Under Graduate,3,Full-Time,Standard,,,
FMC,Faculty of Management & Commerce,SOMS,School of Management Studies,semester,,,BBA-BA,BBA (Business Analytics),Under Graduate,3,Full-Time,Industry Integrated,HCL GUVI,,
FMC,Faculty of Management & Commerce,SOMS,School of Management Studies,semester,,,MBA,MBA - Master of Business Administration,Post Graduate,2,Full-Time,Standard,,,
FMC,Faculty of Management & Commerce,SOMS,School of Management Studies,semester,,,MBA-LSCM,MBA - Logistics & Supply Chain Management,Post Graduate,2,Full-Time,Standard,,,
FMC,Faculty of Management & Commerce,SOMS,School of Management Studies,semester,,,MBA-HM,MBA - Hospital Management,Post Graduate,2,Full-Time,Standard,,,
FMC,Faculty of Management & Commerce,SOMS,School of Management Studies,semester,,,MBA-FT,MBA (FinTech),Post Graduate,2,Full-Time,Industry Integrated,IMARTICUS,,
FMC,Faculty of Management & Commerce,SOMS,School of Management Studies,semester,,,MBA-BA,MBA (Business Analytics),Post Graduate,2,Full-Time,Industry Integrated,HCL GUVI,,
FMC,Faculty of Management & Commerce,SOMS,School of Management Studies,semester,,,PHD-MGT,Ph.D - Management,PhD (Full-Time),5,Full-Time,Research,,,
FMC,Faculty of Management & Commerce,SOC,School of Commerce,semester,,,BCOM,B.Com - General,Under Graduate,3,Full-Time,Standard,,,
FMC,Faculty of Management & Commerce,SOC,School of Commerce,semester,,,BCOM-AF,B.Com - Accounting & Finance,Under Graduate,3,Full-Time,Standard,,,
FMC,Faculty of Management & Commerce,SOC,School of Commerce,semester,,,BCOM-FTAI,B.Com - FinTech with AI,Under Graduate,3,Full-Time,Standard,,,
FMC,Faculty of Management & Commerce,SOC,School of Commerce,semester,,,BCOM-CA,B.Com - Computer Applications,Under Graduate,3,Full-Time,Standard,,,
FMC,Faculty of Management & Commerce,SOC,School of Commerce,semester,,,BCOM-CS,B.Com - Corporate Secretaryship,Under Graduate,3,Full-Time,Standard,,,
FMC,Faculty of Management & Commerce,SOC,School of Commerce,semester,,,BCOM-CMA,B.Com - Cost & Management Accounting,Under Graduate,3,Full-Time,Standard,,,
FMC,Faculty of Management & Commerce,SOC,School of Commerce,semester,,,MCOM,M.Com - Master of Commerce,Post Graduate,2,Full-Time,Standard,,,
FMC,Faculty of Management & Commerce,SOC,School of Commerce,semester,,,PHD-COM,Ph.D - Commerce,PhD (Full-Time),5,Full-Time,Research,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,BSC-MATHS,B.Sc - Mathematics,Under Graduate,3,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,BSC-PHY,B.Sc - Physics,Under Graduate,3,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,BSC-CHEM,B.Sc - Chemistry,Under Graduate,3,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,BSC-BT,B.Sc - Biotechnology,Under Graduate,3,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,BSC-MICRO,B.Sc - Microbiology,Under Graduate,3,Full-Time,Standard,,,
